name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
tyler goodson,RB,IND,IND@KC,4300,0.26,0.435,1.1,1.87,0.44,0.09531017980432493,0.7149854570890979,0.41219813480829126,0.5873058167811608,0.588023480835913,FALLBACK,1.1,,,,,,23.50,27.00,+7500,1.32,4429676,: 
george holani,RB,SEA,SEA@TEN,4200,0.24,0.417,1,1.75,0.42,0,0.6742767143822388,0.43633671664378154,0.5873058167811608,0.588023480835913,FALLBACK,1,,,,,,27.00,13.50,+4000,2.44,4429835,: 
dylan laube,RB,LV,CLE@LV,4600,0.22,0.378,1,1.74,0.42,0,0.674492393688212,0.43107008812058306,0.5873058167811608,0.588023480835913,FALLBACK,1,,,,,,20.00,16.50,+9000,1.10,4366963,: 
ameer abdullah,RB,IND,IND@KC,4300,0.21,0.356,0.9,1.53,0.36,-0.10536051565782628,0.7149854570890978,0.41458041346410385,0.5873058167811608,0.588023480835913,FALLBACK,0.9,,,,,,23.50,27.00,+5500,1.79,2576336,: 
dernest johnson,RB,NE,NE@CIN,4300,0.19,0.34,0.8,1.46,0.34,-0.2231435513142097,0.6746694884305545,0.4714260168288254,0.5873058167811608,0.588023480835913,FALLBACK,0.8,,,,,,29.00,21.50,0,0,3139602,: 
dj giddens,RB,IND,IND@KC,4100,0.2,0.332,0.8,1.36,0.32,-0.2231435513142097,0.7149854570890978,0.41458041346410374,0.5873058167811608,0.588023480835913,FALLBACK,0.8,,,,,,23.50,27.00,+5500,1.79,4874509,: 
roschon johnson,RB,CHI,PIT@CHI,4000,0.2,0.318,0.8,1.27,0.33,-0.2231435513142097,0.6906069646919059,0.3608829808886302,0.5873058167811608,0.588023480835913,FALLBACK,0.8,,,,,,24.00,21.50,0,0,4426386,: 
trevor etienne,RB,CAR,CAR@SF,4100,0.2,0.312,0.8,1.28,0.32,-0.2231435513142097,0.7149854570890978,0.36526216106073034,0.5873058167811608,0.588023480835913,FALLBACK,0.8,,,,,,20.75,27.75,+11000,0.90,4685350,: 
rasheen ali,RB,BAL,NYJ@BAL,4000,0.17,0.305,0.7,1.22,0.29,-0.35667494393873245,0.6744424924286597,0.4330166705415767,0.5873058167811608,0.588023480835913,FALLBACK,0.7,,,,,,29.00,15.50,+7000,1.41,4690013,: 
julius chestnut,RB,TEN,SEA@TEN,4100,0.17,0.273,0.7,1.12,0.28,-0.35667494393873245,0.7149854570890979,0.3643990834605948,0.5873058167811608,0.588023480835913,FALLBACK,0.7,,,,,,13.50,27.00,+11000,0.90,4367567,: 
zamir white,RB,LV,CLE@LV,4000,0.15,0.263,0.6,1.05,0.25,-0.5108256237659907,0.674381327495935,0.433711428452119,0.5873058167811608,0.588023480835913,FALLBACK,0.6,,,,,,20.00,16.50,+5500,1.79,4361777,: 
clyde edwardshelaire,RB,KC,IND@KC,4000,0.13,0.228,0.5,0.91,0.21,-0.6931471805599453,0.6746694884305546,0.4714260168288254,0.5873058167811608,0.588023480835913,FALLBACK,0.5,,,,,,27.00,23.50,0,0,4242214,: 
patrick ricard,RB,BAL,NYJ@BAL,4000,0.13,0.217,0.5,0.87,0.21,-0.6931471805599453,0.6744714669650322,0.4322309626071302,0.5873058167811608,0.588023480835913,FALLBACK,0.5,,,,,,29.00,15.50,+8000,1.23,2975417,: 
aj dillon,RB,PHI,PHI@DAL,4500,0.13,0.211,0.6,0.95,0.25,-0.5108256237659907,0.6906069646919059,0.3608829808886302,0.5873058167811608,0.588023480835913,FALLBACK,0.6,,,,,,25.25,22.25,0,0,4239934,: 
kendall milton,RB,CIN,NE@CIN,4000,0.13,0.21,0.5,0.84,0.2,-0.6931471805599453,0.7149854570890978,0.4054683183719905,0.5873058167811608,0.588023480835913,FALLBACK,0.5,,,,,,21.50,29.00,0,0,4429012,: 
josh jacobs,RB,GB,MIN@GB,8500,0.11,0.184,0.9,1.56,0.38,-0.10536051565782628,0.6746694884305546,0.4268406793454651,0.5873058167811608,0.588023480835913,FALLBACK,0.9,,,,,,24.00,17.50,0,0,4047365,Q: Knee
isaac guerendo,RB,SF,CAR@SF,4000,0.1,0.175,0.4,0.7,0.17,-0.916290731874155,0.6745101013538832,0.4316564288505748,0.5873058167811608,0.588023480835913,FALLBACK,0.4,,,,,,27.75,20.75,+10000,0.99,4372561,: 
hunter luepke,RB,DAL,PHI@DAL,4900,0.1,0.163,0.5,0.8,0.21,-0.6931471805599453,0.690379968690011,0.3675644204979884,0.5873058167811608,0.588023480835913,FALLBACK,0.5,,,,,,22.25,25.25,+7000,1.41,4383396,: 
jermar jefferson,RB,ARI,JAC@ARI,4000,0.1,0.16,0.4,0.64,0.17,-0.916290731874155,0.690606964691906,0.36088298088863013,0.5873058167811608,0.588023480835913,FALLBACK,0.4,,,,,,22.25,25.25,0,0,4374033,: 
cj ham,RB,MIN,MIN@GB,4000,0.1,0.16,0.4,0.64,0.16,-0.916290731874155,0.7149854570890978,0.36619249589754177,0.5873058167811608,0.588023480835913,FALLBACK,0.4,,,,,,17.50,24.00,+7500,1.32,4012556,: 
travis homer,RB,CHI,PIT@CHI,4100,0.1,0.156,0.4,0.64,0.17,-0.916290731874155,0.690606964691906,0.36088298088863013,0.5873058167811608,0.588023480835913,FALLBACK,0.4,,,,,,24.00,21.50,0,0,4037457,Q: Hamstring
brittain brown,RB,CHI,PIT@CHI,4200,0.1,0.152,0.4,0.64,0.17,-0.916290731874155,0.690606964691906,0.36088298088863013,0.5873058167811608,0.588023480835913,FALLBACK,0.4,,,,,,24.00,21.50,0,0,4036032,: 
nathan carter,RB,ATL,ATL@NO,4200,0.1,0.152,0.4,0.64,0.17,-0.916290731874155,0.6904926534866749,0.36361549365451,0.5873058167811608,0.588023480835913,FALLBACK,0.4,,,,,,19.00,20.50,+14000,0.71,4605841,: 
emari demercado,RB,ARI,JAC@ARI,5500,0.09,0.144,0.5,0.79,0.21,-0.6931471805599453,0.690606964691906,0.3608829808886302,0.5873058167811608,0.588023480835913,FALLBACK,0.5,,,,,,22.25,25.25,0,0,4362478,O: Ankle
sione vaki,RB,DET,NYG@DET,4500,0.07,0.122,0.3,0.55,0.13,-1.2039728043259361,0.6746694884305546,0.4714260168288255,0.5873058167811608,0.588023480835913,FALLBACK,0.3,,,,,,30.50,20.00,0,0,4912274,Q: Ankle
craig reynolds,RB,DET,NYG@DET,4600,0.07,0.12,0.3,0.55,0.13,-1.2039728043259361,0.6746694884305546,0.4714260168288255,0.5873058167811608,0.588023480835913,FALLBACK,0.3,,,,,,30.50,20.00,0,0,4421446,: 
cam akers,RB,MIN,MIN@GB,4000,0.05,0.08,0.2,0.32,0.1,-1.6094379124341003,0.5408656188293052,0.3608829808886302,0.5873058167811608,0.588023480835913,FALLBACK,0.2,,,,,,17.50,24.00,0,0,4240021,: 
kene nwangwu,RB,NYJ,NYJ@BAL,4000,0.03,0.04,0.1,0.16,0.1,-2.3025850929940455,0.01,0.3657053159894253,0.5873058167811608,0.588023480835913,FALLBACK,0.1,,,,,,15.50,29.00,+9000,1.10,4035537,: 
