name,position,team,game,salary,value,ceilingValue,consensus,p90,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,uncertainty,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
jets,D,NYJ,CLE@NYJ,4000,1.57,2.498,6.3,9.99,6.3,,,,,,0.36,27.50,23.00,0,0,,: 
texans,D,HOU,JAC@HOU,4900,1.51,2.394,7.4,11.73,7.4,,,,,,0.36,14.00,23.50,0,0,,: 
packers,D,GB,PHI@GB,3900,1.49,2.359,5.8,9.2,5.8,,,,,,0.36,23.50,22.00,+2500,3.85,,: 
dolphins,D,MIA,BUF@MIA,3000,1.47,2.327,4.4,6.98,4.4,,,,,,0.36,27.00,25.50,0,0,,: 
vikings,D,MIN,BAL@MIN,3700,1.43,2.27,5.3,8.4,5.3,,,,,,0.36,25.50,23.00,0,0,,: 
commanders,D,WAS,DET@WAS,3200,1.38,1.944,3.96,6.22,4.4,,,,,,0.353,20.50,29.00,+2800,3.45,,: 
steelers,D,PIT,PIT@LAC,4300,1.35,2.14,5.8,9.2,5.8,,,,,,0.36,21.25,24.25,+2800,3.45,,: 
chargers,D,LAC,PIT@LAC,4500,1.33,2.113,6,9.51,6,,,,,,0.36,24.25,21.25,+2800,3.45,,: 
eagles,D,PHI,PHI@GB,4300,1.28,2.028,5.5,8.72,5.5,,,,,,0.36,22.00,23.50,+2500,3.85,,: 
patriots,D,NE,NE@TB,4800,1.27,2.015,6.1,9.67,6.1,,,,,,0.36,25.00,23.50,0,0,,: 
