name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
cody white,WR,SEA,SEA@LAR,4000,0.4,0.902,1.6,3.61,1.01,0.4700036292457356,0.35874651671583185,0.6342193276794297,0.3688407230803515,1.2304197946060706,FALLBACK,1.6,,,,,,22.75,25.75,+7000,1.41,4241983,: 
mitchell evans,TE,CAR,CAR@ATL,4100,0.44,0.895,1.8,3.67,0.93,0.5877866649021191,0.5192402246556861,0.5565067981272304,0.5056766934100616,1.0185391151935956,FALLBACK,1.8,,,,,,19.00,22.50,+7000,1.41,4683243,: 
grant calcaterra,TE,PHI,DET@PHI,4400,0.43,0.882,1.9,3.88,0.94,0.6418538861723947,0.5494302426004384,0.5574688976735976,0.5056766934100616,1.0185391151935956,FALLBACK,1.9,,,,,,24.50,22.00,+5500,1.79,4241374,: 
quintin morris,TE,JAC,LAC@JAC,4000,0.42,0.865,1.7,3.46,0.84,0.5306282510621704,0.5495208525693572,0.555280118997571,0.5056766934100616,1.0185391151935956,FALLBACK,1.7,,,,,,,,+7500,1.32,4244049,: 
isaiah bond,WR,CLE,BAL@CLE,4900,0.37,0.827,1.8,4.05,1.19,0.5877866649021191,0.3201222125636725,0.6328947083909874,0.3688407230803515,1.2304197946060706,FALLBACK,1.8,,,,,,15.50,23.00,+4500,2.17,4808839,: 
andre baccellia,WR,ARI,SF@ARI,4000,0.3,0.825,1.2,3.3,0.8,0.1823215567939546,0.32033140824895306,0.7898015773156015,0.3688407230803515,1.2304197946060706,FALLBACK,1.2,,,,,,22.50,26.00,+7500,1.32,3886809,: 
david sills v,WR,ATL,CAR@ATL,4400,0.43,0.805,1.9,3.54,1.2,0.6418538861723947,0.3581461695942174,0.4852949364777348,0.3688407230803515,1.2304197946060706,FALLBACK,1.9,,,,,,22.50,19.00,+2500,3.85,3871102,: 
tylan wallace,WR,BAL,BAL@CLE,4300,0.49,0.791,2.1,3.4,1.27,0.7419373447293773,0.393817635822334,0.37557686163633114,0.3688407230803515,1.2304197946060706,FALLBACK,2.1,,,,,,23.00,15.50,+4000,2.44,4241424,: 
jaydon blue,RB,DAL,DAL@LV,4700,0.43,0.789,2,3.71,0.93,0.6931471805599453,0.5989510517892916,0.4828301537436961,0.546384830071973,0.6646131192707947,FALLBACK,2,,,,,,26.50,23.00,+4500,2.17,4685279,: 
jimmy horn,WR,CAR,CAR@ATL,4300,0.35,0.784,1.5,3.37,1,0.4054651081081644,0.3201738909873762,0.632351400844207,0.3688407230803515,1.2304197946060706,FALLBACK,1.5,,,,,,19.00,22.50,+5000,1.96,4708486,: 
ross dwelley,TE,DET,DET@PHI,4000,0.38,0.77,1.5,3.08,0.74,0.4054651081081644,0.5493049482765575,0.5608557309287998,0.5056766934100616,1.0185391151935956,FALLBACK,1.5,,,,,,22.00,24.50,+4000,2.44,3120303,: 
will shipley,RB,PHI,DET@PHI,5300,0.45,0.76,2.4,4.03,1.09,0.8754687373538999,0.6166175209378963,0.4034623569413336,0.546384830071973,0.6646131192707947,FALLBACK,2.4,,,,,,24.50,22.00,+8000,1.23,4431545,: 
xavier smith,WR,LAR,SEA@LAR,4200,0.33,0.752,1.4,3.16,0.88,0.33647223662121284,0.35868990689671865,0.6355596218123726,0.3688407230803515,1.2304197946060706,FALLBACK,1.4,,,,,,25.75,22.75,+6000,1.64,4386544,: 
devontez walker,WR,BAL,BAL@CLE,4100,0.44,0.71,1.8,2.91,1.09,0.5877866649021191,0.3938176358223341,0.37557686163633097,0.3688407230803515,1.2304197946060706,FALLBACK,1.8,,,,,,23.00,15.50,+4000,2.44,4696882,: 
jalen tolbert,WR,DAL,DAL@LV,4800,0.31,0.708,1.5,3.4,0.95,0.4054651081081644,0.3586111522406123,0.6377016092988326,0.3688407230803515,1.2304197946060706,FALLBACK,1.5,,,,,,26.50,23.00,+5000,1.96,4249417,: 
kyle juszczyk,RB,SF,SF@ARI,4200,0.38,0.705,1.6,2.96,0.74,0.4700036292457356,0.5990182735830212,0.4806895818318975,0.546384830071973,0.6646131192707947,FALLBACK,1.6,,,,,,26.00,22.50,+5500,1.79,16002,: 
jake tonges,TE,SF,SF@ARI,4200,0.33,0.686,1.4,2.88,0.69,0.33647223662121284,0.5493049482765574,0.5615144709590029,0.5056766934100616,1.0185391151935956,FALLBACK,1.4,,,,,,26.00,22.50,+4000,2.44,4259147,: 
tyler conklin,TE,LAC,LAC@JAC,4500,0.38,0.656,1.7,2.95,0.84,0.5306282510621704,0.5493049482765575,0.43049534767187314,0.5056766934100616,1.0185391151935956,FALLBACK,1.7,,,,,,23.25,20.25,+4000,2.44,3915486,: 
bo melton,WR,GB,GB@NYG,4000,0.35,0.647,1.4,2.59,0.88,0.33647223662121284,0.3584930351580013,0.47855266036578986,0.3688407230803515,1.2304197946060706,FALLBACK,1.4,,,,,,24.25,17.25,+4000,2.44,4259305,: 
jaret patterson,RB,LAC,LAC@JAC,5500,0.38,0.636,2.1,3.5,0.95,0.7419373447293773,0.6168351746251776,0.3976373244236796,0.546384830071973,0.6646131192707947,FALLBACK,2.1,,,,,,23.25,20.25,0,0,4362452,: 
josh oliver,TE,MIN,CHI@MIN,4200,0.31,0.636,1.3,2.67,0.64,0.26236426446749106,0.5493049482765575,0.561185170458208,0.5056766934100616,1.0185391151935956,FALLBACK,1.3,,,,,,25.25,22.25,+4000,2.44,3921690,: 
lequint allen,RB,JAC,LAC@JAC,4300,0.37,0.626,1.6,2.69,0.73,0.4700036292457356,0.6165184466852704,0.40642793357122353,0.546384830071973,0.6646131192707947,FALLBACK,1.6,,,,,,,,+5500,1.79,4911851,: 
savion williams,WR,GB,GB@NYG,4600,0.33,0.602,1.5,2.77,0.95,0.4054651081081644,0.35855947381690845,0.47725491374342816,0.3688407230803515,1.2304197946060706,FALLBACK,1.5,,,,,,24.25,17.25,+4500,2.17,4431487,Q: Foot
adam thielen,WR,MIN,CHI@MIN,4500,0.27,0.6,1.2,2.7,0.76,0.1823215567939546,0.3587465167158318,0.6340162482566191,0.3688407230803515,1.2304197946060706,FALLBACK,1.2,,,,,,25.25,22.25,+7000,1.41,16460,: 
dare ogunbowale,RB,HOU,HOU@TEN,4100,0.32,0.585,1.3,2.4,0.6,0.26236426446749106,0.5990182735830212,0.47883010635289663,0.546384830071973,0.6646131192707947,FALLBACK,1.3,,,,,,21.50,16.00,+5500,1.79,2983509,: 
connor heyward,TE,PIT,CIN@PIT,4200,0.29,0.583,1.2,2.45,0.59,0.1823215567939546,0.5494591595324902,0.5571304221133542,0.5056766934100616,1.0185391151935956,FALLBACK,1.2,,,,,,27.00,21.50,+6000,1.64,4241961,: 
cade stover,TE,HOU,HOU@TEN,4200,0.33,0.579,1.4,2.43,0.69,0.33647223662121284,0.5493049482765574,0.4293397477182414,0.5056766934100616,1.0185391151935956,FALLBACK,1.4,,,,,,21.50,16.00,+4000,2.44,4426496,Q: Foot
payne durham,TE,TB,TB@BUF,4200,0.24,0.576,1,2.42,0.51,0,0.5191958832784458,0.6880404175255572,0.5056766934100616,1.0185391151935956,FALLBACK,1,,,,,,20.25,26.25,+6000,1.64,4372505,: 
chris brooks,RB,GB,GB@NYG,4900,0.31,0.565,1.5,2.77,0.7,0.4054651081081644,0.5990660399558424,0.47805151453594374,0.546384830071973,0.6646131192707947,FALLBACK,1.5,,,,,,24.25,17.25,+6500,1.52,3149687,: 
kylen granson,TE,PHI,DET@PHI,4000,0.28,0.56,1.1,2.24,0.54,0.09531017980432493,0.5495382046148419,0.5545391759146212,0.5056766934100616,1.0185391151935956,FALLBACK,1.1,,,,,,24.50,22.00,+8000,1.23,4039160,: 
ian thomas,TE,LV,DAL@LV,4000,0.23,0.542,0.9,2.17,0.46,-0.10536051565782628,0.5192999931077392,0.6856622074971513,0.5056766934100616,1.0185391151935956,FALLBACK,0.9,,,,,,23.00,26.50,+9000,1.10,4045305,: 
charlie woerner,TE,ATL,CAR@ATL,4200,0.31,0.536,1.3,2.25,0.64,0.26236426446749106,0.5494302426004384,0.4268828155947421,0.5056766934100616,1.0185391151935956,FALLBACK,1.3,,,,,,22.50,19.00,+5500,1.79,4035020,: 
brian thomas,WR,JAC,LAC@JAC,6700,0.24,0.533,1.6,3.57,1.01,0.4700036292457356,0.35909364931166454,0.6259520397190136,0.3688407230803515,1.2304197946060706,FALLBACK,1.6,,,,,,,,0,0,4432773,Q: Ankle
