Score,Total Projected Pts,Total Cost,Proj Pts Weight,QB,SP1,SP2,SP3,SP4,SP5,SP6,SP7,D
9.44763,121.9,60000,0.67,patrick mahomes,rico dowdle,christian mccaffrey,josh jacobs,ladd mcconkey,chris olave,xavier worthy,michael mayer,browns
9.44046,121.7,59800,0.67,patrick mahomes,rico dowdle,jacory croskeymerritt,bijan robinson,keenan allen,tetairoa mcmillan,calvin ridley,trey mcbride,packers
9.43369,121.6,59900,0.67,patrick mahomes,rico dowdle,rachaad white,devon achane,keenan allen,tetairoa mcmillan,ladd mcconkey,trey mcbride,steelers
9.42763,121.3,60000,0.67,baker mayfield,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.42679,118.8,60000,0.67,josh allen,rico dowdle,jacory croskeymerritt,javonte williams,keenan allen,emeka egbuka,davante adams,michael mayer,raiders
9.42453,121.3,59800,0.67,josh allen,rico dowdle,rachaad white,josh jacobs,drake london,george pickens,chris olave,michael mayer,browns
9.41339,122.4,60000,0.67,baker mayfield,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,drake london,keenan allen,trey mcbride,browns
9.40897,122.0,60000,0.67,caleb williams,rico dowdle,javonte williams,devon achane,stefon diggs,keenan allen,emeka egbuka,trey mcbride,browns
9.40809,120.8,59900,0.67,baker mayfield,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,keenan allen,emeka egbuka,trey mcbride,browns
9.40319,121.7,60000,0.67,baker mayfield,rico dowdle,josh jacobs,javonte williams,stefon diggs,keenan allen,tetairoa mcmillan,trey mcbride,browns
9.401,120.8,60000,0.67,baker mayfield,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,george pickens,travis kelce,browns
9.4005,120.8,60000,0.67,baker mayfield,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,ladd mcconkey,emeka egbuka,trey mcbride,browns
9.3987,121.7,60000,0.67,baker mayfield,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,tetairoa mcmillan,trey mcbride,browns
9.39869,121.0,59900,0.67,baker mayfield,rico dowdle,jacory croskeymerritt,javonte williams,drake london,george pickens,keenan allen,trey mcbride,browns
9.39818,119.7,60000,0.67,baker mayfield,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,michael mayer,browns
9.39641,120.9,60000,0.67,baker mayfield,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,keenan allen,sam laporta,packers
9.39576,120.6,60000,0.67,dak prescott,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.3957,121.7,59900,0.67,baker mayfield,rico dowdle,rachaad white,josh jacobs,stefon diggs,george pickens,keenan allen,trey mcbride,browns
9.39496,120.6,59900,0.67,baker mayfield,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,george pickens,keenan allen,trey mcbride,packers
9.39486,121.3,59900,0.67,trevor lawrence,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,george pickens,zach ertz,browns
9.3946,121.2,59700,0.67,baker mayfield,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.3942,120.8,60000,0.67,baker mayfield,rico dowdle,josh jacobs,jacory croskeymerritt,george pickens,keenan allen,tetairoa mcmillan,trey mcbride,browns
9.39399,120.8,60000,0.67,trevor lawrence,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,george pickens,travis kelce,browns
9.39314,121.3,60000,0.67,trevor lawrence,rico dowdle,jacory croskeymerritt,javonte williams,drake london,puka nacua,keenan allen,sam laporta,browns
9.39238,121.5,60000,0.67,trevor lawrence,rico dowdle,josh jacobs,javonte williams,stefon diggs,keenan allen,emeka egbuka,trey mcbride,browns
9.3915,121.2,59800,0.67,baker mayfield,rico dowdle,josh jacobs,javonte williams,stefon diggs,keenan allen,ladd mcconkey,trey mcbride,browns
9.3911,121.0,60000,0.67,baker mayfield,rico dowdle,jacory croskeymerritt,javonte williams,drake london,george pickens,ladd mcconkey,trey mcbride,browns
9.39015,122.0,60000,0.67,trevor lawrence,rico dowdle,rachaad white,josh jacobs,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.38941,120.9,60000,0.67,trevor lawrence,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,packers
9.3892,119.9,60000,0.67,josh allen,rico dowdle,jacory croskeymerritt,devon achane,george pickens,keenan allen,michael pittman,zach ertz,packers
9.38898,120.1,60000,0.67,baker mayfield,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,cade otton,browns
9.38811,121.7,60000,0.67,baker mayfield,rico dowdle,rachaad white,josh jacobs,stefon diggs,george pickens,ladd mcconkey,trey mcbride,browns
9.3879,121.5,60000,0.67,trevor lawrence,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,emeka egbuka,trey mcbride,browns
9.38737,120.6,60000,0.67,baker mayfield,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,george pickens,ladd mcconkey,trey mcbride,packers
9.3873,120.8,59900,0.67,baker mayfield,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.38506,121.5,59800,0.67,trevor lawrence,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,puka nacua,zach ertz,browns
9.3842,121.0,59900,0.67,trevor lawrence,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,travis kelce,browns
9.3834,120.6,60000,0.67,trevor lawrence,rico dowdle,josh jacobs,jacory croskeymerritt,george pickens,keenan allen,emeka egbuka,trey mcbride,browns
9.38151,122.4,60000,0.67,trevor lawrence,rico dowdle,christian mccaffrey,josh jacobs,stefon diggs,keenan allen,ladd mcconkey,trey mcbride,browns
9.3797,120.8,60000,0.67,trevor lawrence,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,tetairoa mcmillan,travis kelce,browns
9.37889,121.9,59800,0.67,trevor lawrence,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
