QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,lineupid
drake maye,devon achane,rico dowdle,tetairoa mcmillan,michael pittman,troy franklin,taysom hill,treveyon henderson,dolphins,mutated_936940,"drake maye,dolphins,tetairoa mcmillan,michael pittman,troy franklin,devon achane,rico dowdle,treveyon henderson,taysom hill",,,,,130.08202201348368,128.203793650884,102.66831744540701,158.2945534614642,22.14673531053676,0.08480836277959579,128.203793650884,
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,alec pierce,hunter henry,rj harvey,titans,47,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,alec pierce,hunter henry,titans",2.0,1.02,119.3,59900.0,130.30769983265273,128.16030944554393,106.26508111523962,157.85133017153183,20.875888277010375,0.1028646234648428,128.16030944554393,
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,rj harvey,dolphins,5,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,dolphins",1.0,0.0,120.1,60000.0,129.45785455027033,127.79326899964914,105.9777745233669,155.70478352833663,19.52238941370801,0.0852654618933255,127.79326899964914,
bo nix,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,ashton jeanty,dolphins,43,"bo nix,devon achane,christian mccaffrey,ashton jeanty,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,dolphins",2.0,0.9133333333333332,119.4,60000.0,129.76826370590567,127.67235891321452,103.92111416882784,158.23596995559154,22.127213964214643,0.0947206817849175,127.67235891321452,
matthew stafford,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,rj harvey,chargers,7,"matthew stafford,devon achane,christian mccaffrey,rj harvey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,chargers",1.0,0.0,120.0,60000.0,129.04017804569608,127.23443367673627,105.0803851392215,154.52120522126398,20.870944745130807,0.0865195318664754,127.23443367673627,
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,alec pierce,kyle pitts sr,rj harvey,falcons,26,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,alec pierce,kyle pitts sr,falcons",2.0,0.46,119.5,60000.0,128.88666067601417,127.12812936533784,104.532558989268,154.89753049558593,20.000610788533113,0.0879238803889209,127.12812936533784,
justin herbert,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,hunter henry,treveyon henderson,chargers,mutated_525380,"justin herbert,chargers,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,129.13478826742968,126.83048878782763,105.21356763784547,154.5031638013149,20.090137097526313,0.11469804652979586,126.83048878782763,
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,alec pierce,kyle pitts sr,rj harvey,dolphins,38,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,alec pierce,kyle pitts sr,dolphins",2.0,0.78,119.4,59900.0,129.49069449674738,126.8145878163332,106.219856561074,154.57641324466144,19.672937798968693,0.1360298450470616,126.8145878163332,
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,hunter henry,rj harvey,cardinals,36,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,hunter henry,cardinals",2.0,0.7266666666666667,119.4,59900.0,129.73261607925716,126.80643556984052,104.38897434650428,160.10247342330604,21.57882304946962,0.1356042682544987,126.80643556984052,
justin herbert,devon achane,christian mccaffrey,wandale robinson,stefon diggs,michael pittman,hunter henry,treveyon henderson,panthers,mutated_545546,"justin herbert,panthers,wandale robinson,stefon diggs,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,128.66952590533097,126.78284271453828,106.41923332776038,154.20489362313916,20.167224932817668,0.09355194862345877,126.78284271453828,
